timestamp,event_type,voltage,current,frequency,power_factor,active_power,reactive_power,rule_alarms,ml_anomaly,anomaly_score,overall_status
2026-09-07T22:11:52,OVERVOLTAGE_STARTED,265.0,9.79,50.01,0.91,2368.31,1056.76,OVERVOLTAGE,True,-0.0303,ALARM
2026-09-07T22:11:52,UNDERVOLTAGE_STARTED,180.0,9.8,49.95,0.92,1618.53,703.72,UNDERVOLTAGE,True,-0.0659,ALARM
2026-09-07T22:11:52,OVERCURRENT_STARTED,229.33,30.0,50.01,0.93,6365.09,2611.02,OVERCURRENT,True,-0.0568,ALARM
2026-09-07T22:11:52,UNDERFREQUENCY_STARTED,228.86,10.29,47.0,0.91,2148.82,965.23,UNDERFREQUENCY,False,0.0731,ALARM
2026-09-07T22:11:52,OVERFREQUENCY_STARTED,231.36,9.83,53.0,0.91,2074.73,934.07,OVERFREQUENCY,False,0.0665,ALARM
2026-09-07T22:18:58,OVERVOLTAGE_STARTED,265.0,9.9,49.96,0.92,2412.58,1030.51,OVERVOLTAGE,True,-0.046,ALARM
2026-09-07T22:18:58,OVERVOLTAGE_CLEARED,230.12,10.12,50.04,0.93,2165.6,859.13,,False,0.1538,NORMAL
2026-09-07T22:18:58,OVERCURRENT_STARTED,231.18,30.0,50.04,0.91,6326.65,2841.56,OVERCURRENT,True,-0.0866,ALARM
2026-09-07T22:18:58,OVERCURRENT_CLEARED,229.73,10.26,50.01,0.91,2149.72,964.53,,False,0.1662,NORMAL
2026-09-07T22:18:58,UNDERFREQUENCY_STARTED,229.27,9.97,47.0,0.93,2121.97,852.18,UNDERFREQUENCY,False,0.0825,ALARM
2026-09-07T22:18:58,UNDERFREQUENCY_CLEARED,231.37,10.02,50.05,0.92,2137.2,899.48,,False,0.1562,NORMAL
2026-09-07T22:18:58,OVERFREQUENCY_STARTED,230.81,10.19,53.0,0.92,2169.42,911.01,OVERFREQUENCY,False,0.0824,ALARM
2026-09-07T22:18:58,OVERFREQUENCY_CLEARED,230.6,9.92,50.0,0.93,2126.04,845.93,,False,0.177,NORMAL
2026-09-07T22:23:03,OVERVOLTAGE_STARTED,265.0,9.78,50.02,0.91,2368.77,1051.15,OVERVOLTAGE,True,-0.0304,ALARM
2026-09-07T22:23:03,OVERVOLTAGE_CLEARED,231.28,9.7,49.97,0.91,2045.54,923.64,,False,0.1453,NORMAL
2026-09-07T22:23:03,OVERCURRENT_STARTED,228.88,30.0,49.99,0.92,6289.31,2755.11,OVERCURRENT,True,-0.0549,ALARM
2026-09-07T22:23:03,OVERCURRENT_CLEARED,229.24,10.18,49.97,0.91,2130.12,951.57,,False,0.1569,NORMAL
2026-09-07T22:23:03,UNDERFREQUENCY_STARTED,230.12,9.84,47.0,0.92,2085.62,884.31,UNDERFREQUENCY,False,0.0834,ALARM
2026-09-07T22:23:03,UNDERFREQUENCY_CLEARED,229.49,10.02,49.97,0.92,2108.77,917.89,,False,0.1583,NORMAL
2026-09-07T22:23:03,OVERFREQUENCY_STARTED,228.76,10.11,53.0,0.91,2110.38,946.79,OVERFREQUENCY,False,0.0818,ALARM
2026-09-07T22:23:03,OVERFREQUENCY_CLEARED,228.72,9.79,50.03,0.93,2081.85,823.66,,False,0.1351,NORMAL
2026-09-07T22:24:34,OVERVOLTAGE_STARTED,265.0,9.89,49.99,0.91,2389.06,1075.2,OVERVOLTAGE,True,-0.0274,ALARM
2026-09-07T22:24:34,OVERVOLTAGE_CLEARED,228.99,10.2,50.02,0.92,2145.57,925.01,,False,0.1783,NORMAL
2026-09-07T22:24:34,OVERCURRENT_STARTED,229.99,30.0,50.03,0.91,6282.28,2852.7,OVERCURRENT,True,-0.0648,ALARM
2026-09-07T22:24:34,OVERCURRENT_CLEARED,230.24,10.05,49.98,0.93,2150.15,855.88,,False,0.1671,NORMAL
2026-09-07T22:24:34,UNDERFREQUENCY_STARTED,231.08,9.98,47.0,0.92,2110.14,929.45,UNDERFREQUENCY,False,0.0797,ALARM
2026-09-07T22:24:34,UNDERFREQUENCY_CLEARED,228.81,10.2,49.99,0.92,2143.16,922.62,,False,0.1751,NORMAL
2026-09-07T22:24:34,OVERFREQUENCY_STARTED,229.1,10.21,53.0,0.92,2163.13,892.87,OVERFREQUENCY,False,0.0836,ALARM
2026-09-07T22:24:34,OVERFREQUENCY_CLEARED,231.24,9.82,50.01,0.92,2088.52,889.87,,False,0.171,NORMAL
2026-09-07T22:36:27,OVERVOLTAGE_STARTED,265.0,9.72,49.97,0.92,2375.96,995.48,OVERVOLTAGE,True,-0.0337,ALARM
2026-09-07T22:36:27,OVERVOLTAGE_CLEARED,228.93,9.71,49.97,0.91,2027.8,909.85,,False,0.1394,NORMAL
2026-09-07T22:36:27,OVERCURRENT_STARTED,231.39,30.0,49.98,0.91,6320.86,2869.7,OVERCURRENT,True,-0.072,ALARM
2026-09-07T22:36:27,OVERCURRENT_CLEARED,231.45,10.14,49.96,0.92,2169.8,895.41,,False,0.156,NORMAL
2026-09-07T22:36:27,UNDERFREQUENCY_STARTED,230.05,10.18,47.0,0.92,2145.91,940.29,UNDERFREQUENCY,False,0.0767,ALARM
2026-09-07T22:36:27,UNDERFREQUENCY_CLEARED,228.56,9.96,50.03,0.91,2079.94,926.25,,False,0.1613,NORMAL
2026-09-07T22:36:27,OVERFREQUENCY_STARTED,229.29,9.95,53.0,0.92,2096.18,900.43,OVERFREQUENCY,False,0.0956,ALARM
2026-09-07T22:36:27,OVERFREQUENCY_CLEARED,229.35,9.93,49.98,0.91,2078.83,930.18,,False,0.1698,NORMAL
